ID,Name,CAS #,CAS,SMILES ,InChiKeys,VDss (L/kg),Reference,Comments
301,Hydroxychloroquine,118-42-3,118-42-3,OCCN(CCCC(Nc1ccnc2c1ccc(c2)Cl)C)CC,XXSMGPRMXLTPCZ-UHFFFAOYSA-N,700,"Tett SE, Cutler DJ, Day RO, and Brown KF (1988) A dose-ranging study of the pharmacokinetics of hydroxychloroquine following intravenous administration to healthy volunteers. Br, J. Clin. Pharmacol. 26: 303-313.  Brocks DR, Skeith KJ, Johnston C, Emamibafrani J, Davis P, Russell AS, and Jamali F (1994) Hematologic disposition of hydroxychloroquine enantiomers. J. Clin. Pharmacol. 34: 1088-1097. ",
302,"Hydroxycotinine, 3'-",34834-67-8,34834-67-8,OC1C[C@H](N(C1=O)C)c1cccnc1,XOKCJXZZNAUIQN-IENPIDJESA-N,0.85,"Scherer G, Jarczyk L, Heller WD, Biber A, Neurath GB, and Adlkofer F (1988) Pharmacokinetics of nicotine, cotinine, and 3'-hydroxycotinine in cigarette smokers.  Klin. Wochenschr. 66(Supp 11): 5-11.",VDss calculated from C vs t data obtained by digitization of the plot provided in the reference.
303,"Hydroxydihydroquinidine, 3(S)-",85405-59-0,85405-59-0,O[C@]1([C@@H]2C[C@@H](N(C1)CC2)[C@@H](O)c1c2c(ncc1)ccc(OC)c2)CC,QJYVSAYVZYKUJL-LGWHJFRWSA-N,6.8,"Jaillon P, Poirier JM, Lecocq B, Jarreau C, Pays M, Richard MO, and Cheymol G (1986) Pharmacokinetics of hydroxy-3(S)-dihydroquinidine in healthy volunteers after intravenous and oral administration.  Eur. J. Drug Metab. Pharmacokinet. 11: 233-238.  Leroyer R, Varoquaux O, Guillebastres R, Jarreau C, Normand JP, Jaillon P, Advenier C, and Pays M (1986) Study on protein binding of 3-(R)- and 3-(S)-hydroxy derivatives of quinidine and dihydroquinidine.  Therapie 41: 159-162.",
304,"Hydroxyimipramine, 2-",303-70-8,303-70-8,Oc1cc2c(N(CCCN(C)C)c3c(CC2)cccc3)cc1,ROTCPJFWLNDKHU-UHFFFAOYSA-N,6.6,"Ciraulo DA, Barnhill JG, Jaffe JH, Ciraulo AM, and Tarmey MF (1990) Intravenous pharmacokinetics of 2-hydroxyimipramine in alcoholics and normal controls.  J. Studies Alcohol 51: 366-372.",VDss calclated from C vs t data obtained by digitization of the plot included in the reference.
305,"Hydroxystaurosporine, 7-",112953-11-4,112953-11-4,O1[C@@]2(n3c4c5n([C@@H]1C[C@@H](NC)[C@H]2OC)c1c(c5c2c(c4c4c3cccc4)[C@@H](O)NC2=O)cccc1)C,PBCZSGKMGDDXIJ-VDKBNTJGSA-N,0.15,"Fuse E, Tanii H, Kurata N, Kobayashi H, Shimada Y, Tamura T, Sasaki Y, Tanigawara Y, Lush RD, Headlee D, Figg WD, Arbuck SG, Senderowicz AM, Sausville EA, Akinaga S, Kuwabara T, and Kobayashi S (1998) Unpredicted clinical pharmacology of UCN-01 caused by specific binding to human alpha1-acid glycoprotein.  Canc. Res. 58: 3248-3253.  Dees EC, Baker SD, O'Reilly S, Rudek MA, Davidson SB, Aylesworth C, Elza-Brown K, Carducci MA, and Donehower RC (2005) A phase I and pharmacokinetic study of short infusions of UCN-01 in patients with refractory solid tumors.  Clin. Canc. Res.  11: 664-671.",Used data from 95 mg/m2 group.
306,Hydroxyurea,127-07-1,127-07-1,C(=O)(N)[NH+][O-],ZWWFYVVYQIMLRX-UHFFFAOYSA-N,0.52,"Rodriguez GI, Kuhn JG, Weiss GR, Hilsenbeck SG, Eckardt JR, Thurman A, Rinaldi DA, Hodges S, Von Hoff DD, Rowinsky EK (1998) A bioavailability and pharmacokinetic study of oral and intravenous hydroxyurea.  Blood 91:1533-1541",
307,Hypericin,548-04-9,548-04-9,O=C1c2c3c4c5c6c(c3c(O)cc2O)c(O)cc(O)c6C(=O)c2c5c(c3c4c1c(O)cc3C)c(cc2O)C,BTXNYTINYBABQR-UHFFFAOYSA-N,0.25,"Kerb R, Brockmuller J, Staffeldt B, Ploch M, and Roots I (1996) Single dose and steady-state pharmacokinetics of hypericin and pseudohypericin.  Antimic. Agents Chemother.  40: 2087-2093.",Data from two subjects with very high variability.
308,Ibandronic Acid (Ibandronate),114084-78-5,114084-78-5,C(C(P(=O)(O)O)(O)P(=O)(O)O)CN(C)CCCCC,MPBVHIBUJCELCL-UHFFFAOYSA-N,0.55,"Barrett J, Worth E, Bauss F, and Epstein S (2004) Ibandronate: a clinical pharmacological and pharmacokinetic update.  J. Clin. Pharmacol. 44: 951-965",Pharmacokinetic parameters were calculated from C vs t data obtained by digitization of the plot provided in the reference.
309,Ibuprofen,15687-27-1,15687-27-1,[O-]C(=O)[C@@H](c1ccc(CC(C)C)cc1)C,HEFNNWSXXWATRW-SNVBAGLBSA-M,0.15,"Martin W, Koselowske G, Toberich H, Kerkmann T, Mangold B, and Augustin J (1990) Pharmacokinetics and absolute bioavailability of ibuprofen after oral administration of ibuprofen lysine in man.  Biopharm. Drug Dispos. 11: 265-278.  Lee KJ,  Mower R, Hollenbeck T, Castelo J, Johnson N, Gordon P, Sinko PJ, Holme K, and Lee YH (2003) Modulation of nonspecific binding in ultrafiltration protein binding studies.  Pharm. Res. 20: 1015-1021.",
310,Ibutilide,122647-31-8,122647-31-8,S(=O)(=O)(Nc1ccc(C(O)CCCN(CCCCCCC)CC)cc1)C.OC(=O)/C=C/C(=O)O,PAXBPNBQGZYWHP-WLHGVMLRSA-N,12,"Jungbluth GL, Della-Coletta ASA, and VanderLugt JT (1991) Evaluation of the pharmacokinetics and pharmacodynamics of ibutilide fumarate and its enantiomers in healthy male volunteers.  Pharm. Res. 8: S-249.  Howard PA (1999) Ibutilide: an antiarrythmic agent for the treatment of atrial fibrillation or flutter.  Ann Pharmacother. 33: 38-47.",
311,Idarubicin,58957-92-9,58957-92-9,O(C1CC(O)(Cc2c1c(O)c1c(c2O)C(=O)c2c(C1=O)cccc2)C(=O)C)C1OC(C(O)C(N)C1)C,XDXDZDZNSLXDNA-UHFFFAOYSA-N,38,"Robert J (1993) Clinical pharmacokinetics of idarubicin.  Clin. Pharmacokinet. 24: 275-288.  Kessel M, Gieseler F, and Woodcock BG (1999) Influence of serum protein on the uptake and retention of idarubicin by sensitive and multidrug resistant human leukemic cells.  Eur. J. Clin. Pharmacol. 55: 369-373.",Compendium of intravenous data with median values.
312,Idazoxan,79944-58-4,79944-58-4,O1C(C2=NCCN2)COc2c1cccc2,HPMRFMKYPGXPEP-UHFFFAOYSA-N,3.3,"Muir NC, Lloyd-Jones JG, Nichols JD, and Clifford JM (1986) The pharmacokinetics after intravenous and oral administration in man of the alpha2-adrenoreceptor antagonist idazoxan (RX781094).  Eur. J. Clin. Pharmacol.  29: 743-745.",VDss calculated from digitized plots.
313,Ifetroban,143443-90-7,143443-90-7,C1C[C@H]2[C@H]([C@H]([C@@H]1O2)Cc1c(cccc1)CCC(=O)O)c1occ(n1)C(=O)NCCCCC,BBPRUNPUJIUXSE-DXKRWKNPSA-N,4.4,"Dockens RC, Santone KS, Mitroka JG, Morrison RA, Jemal M, Greene DS, and Barbhaiya RH (2000) Disposition of radiolabeled ifetroban in rats, dogs, monkeys, and humans.  Drug Metab. Dispos. 28: 973-980.",
314,Ifosfamide,3778-73-2,3778-73-2,ClCCN1P(=O)(OCCC1)NCCCl,HOMGKSMUEGBAAB-UHFFFAOYSA-N,0.62,"Corlett SA, Parker D, and Chrystyn H (1995) Pharmacokinetics of ifosfamide and its enantiomers following a single 1 h intravenous infusion of the racemate in patients with small cell lung carcinoma.  Br. J. Clin. Pharmacol. 39: 452-455.  ",
315,Iloprost,78919-13-8,78919-13-8,O[C@H]1[C@@H]([C@@H]2[C@H](C1)C/C(=C\CCCC(=O)O)/C2)/C=C/[C@@H](O)C(CC#CC)C,HIFJCPQKFCZDDL-ACWOEMLNSA-N,0.37,Krause W and Krais T (1986) Pharmacokinetics and pharmacodynamics of the prostacyclin analogue iloproset in man.  Eur. J. Clin. Pharmacol. 30: 61-68.  Hildebrand M (1997) Pharmacokinetics and tolerablity of oral iloprost in thromboangitis obliterans patients.  Eur. J. Clin. Pharmacol. 53: 51-56.  Ventavis Product Label.,VDss calculated from digitized plots.  VDss and CL data are the average of the two reports; t1/2 data are only from Hildebrandt. 
316,Imatinib,152459-95-5,152459-95-5,C[C@H](NCc1ccccc1)c1ccccc1,ZYZHMSJNPCYUTB-ZDUSSCGKSA-N,3.9,"Peng B, Dutreix C, Mehring G, Hayes MJ, Ben-Am M, Sieberling M, Pokorny R, Capdeville R, and Lloyd P (2004) Absolute bioavailability of imatinib (Glivec) orally versus intravenous infusion.  J. Clin. Pharmacol. 44: 158-162. Gleevec Product Label.",VDss calculated from C vs t data obtained by digitization of the plot provided in the reference.
317,Imipenem,64221-86-9,64221-86-9,S(C1=C(N2[C@@H]([C@H](C2=O)[C@H](O)C)C1)C(=O)O)CCNC=N,ZSKVGTPCRGIANV-ZXFLCMHBSA-N,0.24,Saito A (1991) Pharmacokinetics of panipenem/betamipron.  Chemotherapy 39(Suppl. 3): 227-235.  Bergan T (1984) Pharmacokinetics of beta-lactam antibiotics.  Scand. J. Infect. Dis. 42(Suppl): 83-98.,VDss calculated from C vs t data provided in the reference.
318,Imipramine,50-49-7,50-49-7,CN(CCCN1c2ccccc2CCc2c1cccc2)C,BCGWQEUPMDMJNV-UHFFFAOYSA-N,12,Brosen K and Gram LF (1988) First-pass metabolism of imipramine and desipramine: impact of the sparteine oxidation phenotype.  Clin. Pharmacol. Ther.  43: 400-406.  Nyberg G and Maartensson E (1984) Determination of free fractions of tricyclic antidepressants.  Naunyn-Sch. Arch. Pharmacol. 327: 260-265.   Danon A and Chen Z (1979) Binding of imipramine to plasma proteins: effect of hyperlipoproteinemia.  Clin. Pharmacol. Ther. 25: 316-321.,VDss was calculatd using C vs t data obtained from plots provided in the reference.
319,Imipramine N-oxide,6829-98-7,6829-98-7,[O-][N+]1(CCCN(C)C)c2c(CCc3c1cccc3)cccc2,CADMPLPEJHVVFU-UHFFFAOYSA-N,1.9,Nagy A and Hansen T (1978) The kinetics of imipramine N-oxide in man.  Acta Pharmacol. Toxicol. 42: 58-67.,VDss obtained from C vs t data obtained by digitization of the plot provided in the reference.
320,Indinavir,150378-17-9,150378-17-9,c1ccncc1CN1CCN([C@@H](C1)C(=O)NC(C)(C)C)C[C@H](C[C@H](C(=O)N[C@H]1c2c(cccc2)C[C@H]1O)Cc1ccccc1)O,CBVCZFGXHXORBI-PXQQMZJSSA-N,0.82,"Yeh KC, Stone JA, Carides AD, Rolan P, Woolf E, and Ju WD (1999) Simultaneous investigation of indinavir nonlinear pharmacokinetics and bioavailability in healthy volunteers using stable isotope labeling technique: study design and model-independent data analysis.  J. Pharm. Sci. 88: 568-573.  Boffito M, Hoggard PG, Reynolds HE, Bonora S, Meaden ER, Sinicco A, Di Perri G, and Back DJ (2002) The unbound percentage of saquinavir and indinavir remains constant throughout the dosing interval in HIV positive subjects.  Br. J. Clin. Pharmacol. 54: 262-268.",VDss and t1/2 were calculated from data obtained by digitization of C vs t plots (group C) provided in the report.
321,Indocyanine Green,3599-32-4,3599-32-4,[Na]OS(=O)(=O)CCCCN1c2c3ccccc3ccc2C(C)(C)/C/1=C/C=C\C=C\C=C/C1=[N+](CCCCS(=O)(=O)[O-])c2c3ccccc3ccc2C1(C)C,BOOGXKILWMKFIU-UHFFFAOYSA-M,0.035,"Vanakoski J, Idanpaan-Heikkila JJ, and Seppala T (1996) Exposure to high environmental temperature in the sauna does not change plasma indocyanine green (ICG) clearance in healthy subjects.  Pharmacol. Toxicol. 78: 94-98.   IC-Green Product Label.",
322,Indomethacin,53-86-1,53-86-1,Clc1ccc(C(=O)n2c3c(c(c2C)CC(=O)[O-])cc(OC)cc3)cc1,CGIGDMFJXJATDK-UHFFFAOYSA-M,0.096,"Yeh KC, Berger ET, Breault GO, and Lei BE (1982) Effect of sustained release on the pharmacokinetic profile of indomethacin in man.  Biopharm. Drug Dispos. 3: 219-230.  Indocin Product Label.",CL and half-life were calculated from C vs t data included in the reference.  VDss was calculated using micro rate constants provided.
323,Indoramin,26844-12-2,26844-12-2,O=C(NC1CCN(CCc2c3c([nH]c2)cccc3)CC1)c1ccccc1,JXZZEXZZKAWDSP-UHFFFAOYSA-N,4.9,"Norbury HM, Franklin RA, Marrott PK, and Warrington SJ (1983) Pharmacokinetics of intravenous indoramin in middle aged male and female volunteers.  Eur. J. Clin. Pharmacol.  25: 243-246.",Cited fu value at lowest concentration which was relevant to the plasma concentrations.  VDss calclated from digitized plot.
324,Intoplicine,125974-72-3,125974-72-3,Oc1cc2c(c3c4c([nH]c3cc2)c(cnc4NCCCN(C)C)C)cc1,QROONAIPJKQFMC-UHFFFAOYSA-N,11,"Abigerges D, Armand JP, Chabot GG, Bruno R, Bissery MC, Bayssas M, Klink-Alakl M, Clavel M, and Catimel G (1996) Phase I and pharmacology study of  intoplicine  (RP 60475; NSC 645008), a novel topoisomerase I and II inhibitor, in cancer  patients.  Anti-Cancer Drugs 7: 166-174",
325,Iohexol,66108-95-0,66108-95-0,Ic1c(c(I)c(c(I)c1C(=O)NCC(O)CO)C(=O)NCC(O)CO)C(=O)NCC(O)CO,BAFFCVCLJHSNGO-UHFFFAOYSA-N,0.16,"Back SE, Krutzen E, and Nilsson-Ehle P (1988) Contrast media as markers for glomerular filtration: a pharmacokinetic comparison of four agents.  Scand. J. Clin. Lab Invest.  48: 247-253.",VDss calculated from C vs t data obtained by digitization of the plot provided in the reference.
326,Iopamidol,60166-93-0,60166-93-0,CC(O)C(=O)Nc1c(I)c(C(=O)NC(CO)CO)c(I)c(C(=O)NC(CO)CO)c1I,XQZXYNRDCRIARQ-UHFFFAOYSA-N,0.28,"McKinstry DN, Rommel AJ, and Sugerman AA (1984) Pharmacokinetics, metabolism, and excretion of iopamidol in healthy subjects.  Invest. Radiol. 19: s171-s174.",
327,Iopromide,73334-07-3,73334-07-3,Ic1c(c(I)c(c(I)c1NC(=O)COC)C(=O)NCC(O)CO)C(=O)N,LRDUZSWGOGRJCK-UHFFFAOYSA-N,0.22,"Krause W, Schuhmann-Giampieri G, Staks T, and Kaufmann J (1994) Dose proportionality of iopromide pharmacokinetics and tolerability after IV injection in healthy volunteers.  Eur. J. Clin. Pharmacol.  46: 339-343.  Ultravist Product Label",
328,Iothalamic acid (Iothalamate),2276-90-6,2276-90-6,Ic1c(c(I)c(NC(=O)C)c(I)c1C(=O)O)C(=O)NC,UXIGWFXRQKWHHA-UHFFFAOYSA-N,0.17,"Back SE, Krutzen E, and Nilsson-Ehle P (1988) Contrast media as markers for glomerular filtration: a pharmacokinetic comparison of four agents.  Scand. J. Clin. Lab Invest.  48: 247-253.  Bollerup AC, Hesse B, and Steiness E (1975) Renal handling of iodamide and diatrizoate.  Evidence of active tubular secretion of iodamide.  Eur. J. Clin. Pharmacol. 9: 63-67.",VDss calculated from C vs t data obtained by digitization of the plot provided in the reference.
329,Irbesartan,138402-11-6,138402-11-6,O=C1N(Cc2ccc(c3ccccc3c3nnn[nH]3)cc2)C(=NC21CCCC2)CCCC,YOSHYTLCDANDAN-UHFFFAOYSA-N,0.94,"Vachharajani NN, Shyu WC, Chando TJ, Everett DW, Greene DS, Barbhaiya RH (1998) Oral bioavailabiity and disposition characteristics of irbesartan, an angiotensin antagonist, in healthy volunteers.  J. Clin. Pharmacol. 38: 702-707.  Avalide Product Label.",
330,Irinotecan,97682-44-5,97682-44-5,CCC1(O)C(=O)OCc2c1cc1c3nc4ccc(cc4c(c3Cn1c2=O)CC)OC(=O)N1CCC(CC1)N1C([2H])([2H])C([2H])([2H])C(C(C1([2H])[2H])([2H])[2H])([2H])[2H],UWKQSNNFCGGAFS-KPVZPXKXSA-N,3.5,"Xie R, Mathijssen RHJ, Sparreboom A, Verweij J, and Karlsson MO (2002) Clinical pharmacokinetics of irinotecan and its metabolites in relation with diarrhea.  Clin. Pharmacol. Ther. 72: 265-275.  Camptosar Product Label.","No t1/2 reported from Xie, et al."
331,Irofulven,158440-71-2,158440-71-2,O[C@@]1(C2(C(=C3C(=CC(=C3CO)C)C1=O)C)CC2)C,NICJCIQSJJKZAH-AWEZNQCLSA-N,3.1,"Paci A, Rezai K, Deroussent A, De Valeriola D, Re M, Weill S, Cvitkovic E, Kahatt C, Shah A, Waters S, Weems G, Vassal G, and Lokiec F (2006) Pharmacokinetics, metabolism, and routes of excretion of intravenous irofulven in patients with advanced solid tumors.  Drug Met. Disp. 34: 1918-1926.",
332,Isepamicin,58152-03-7,58152-03-7,CNC1C(O)C(OC2C(O)C(O)C(N)CC2NC(=O)C(O)CN)OCC1(C)OC1OC(CN)C(O)C(O)C1O,WVUXLNQATJQHLA-UHFFFAOYSA-N,0.32,"Nomeir AA, Radwanski E, Cutler D, Affrime M, Christopher D, Korduba C, Batra V, Lin C, and Cayen MN (1997) Single-dose pharmacokinetics of isepamicin in young and geriatric volunteers.  J. Clin. Pharmacol. 37: 1021-1030.  Tod M, Padoin C, and Petitjean O (2000)  Clinical pharmacokinetics and pharmacodynamics of isepamicin.  Clin. Pharmacokinet. 38: 205-223.  ",
333,Isoniazide,54-85-3,54-85-3,N(N)OC(=O)c1ccncc1,LRNFBKZFFSMJIA-UHFFFAOYSA-N,0.82,"Advenier C, St.Aubin A, Gobert C, Houin G, Albengres E, and Tillement JP (1980) Pharmacokinetics of isoniazid in the elderly.  Br. J. Clin. Pharmacol. 10: 167-169.  Kurz H, Mauser-Ganshorn A, and Stickel HH (1977) Differences in the binding of drugs to plasma proteins from newborn and adult man. I. Eur. J. Clin. Pharmacol. 11: 463-467.","VDss calculated from reported micro rate constants.  CL and t1/2 are for fast acetylators.  CL and t1/2 for slow acetylatore were 3.7 mL/min/kg and 3.1h, respectively."
334,Isoproterenol,7683-59-2,7683-59-2,Cl.Oc1c(O)ccc(c1)C(O)CNC(C)C,IROWCYIEJAOFOW-UHFFFAOYSA-N,1.5,"Illi A, Sundberg S, Ojala-Karlsson P, Korhonen P, Scheinin M, and Gordin A (1995) The effect of entacapone on the disposition and hemodynamic effects of intravenous isoproterenol and epinephrine.  Clin. Pharmacol. Ther. 58: 221-227.  Sager G, Bratlid H, and Little C (1987) Binding of catecholamines to alpha-1 acid glycoprotein, albumin and lipoproteins in human serum.  Biochem. Pharmacol. 36:  3607-3612.",Pharmacokinetic parameters were calculated from C vs t data obtained by digitization of the plot provided in the reference.
335,Isosorbide Dinitrate,87-33-2,87-33-2,O=[N+]([O-])O[C@H]1[C@H]2OC[C@H](O[N+](=O)[O-])[C@H]2OC1,MOYKHGMNXAOIAT-JGWLITMVSA-N,1.9,"Platzer R, Reutemann G, and Galeazzi RL (1982) Pharmacokinetics of intravenous isosorbide dinitrate.  J. Pharmacokinet. Biopharm. 10: 575-586.  Santoni Y, Iliadis A, Cano JP, Luccioni R, and Frances Y (1986) Pharmacokinetics of isosorbide dinitrate and its mononitrate metabolites after intravenous infusion.  J. Pharmacokinet. Biopharm. 14: 1-17.  Straehl P and Galeazzi RL (1985) Isosorbide dinitrate bioavailability, kinetics, and metabolism. Clin Pharmacol Ther. 38:140-149",
336,Isosorbide-2-Mononitrate,16106-20-0,16106-20-0,[C@H]12[C@H]([C@H](CO1)O[N+](=O)[O-])OC[C@H]2O,YWXYYJSYQOXTPL-VANKVMQKSA-N,0.86,"Straehl P, Galeazzi RL, and Soliva M (1984) Isosorbide 5-mononitrate and isosorbide 2-mononitrate kinetics after intravenous and oral dosing.  Clin. Pharmacol. Ther.  36: 485-491.",
337,Isosorbide-5-Mononitrate,16051-77-7,16051-77-7,O1[C@H]2[C@H](OC[C@@H]2O)[C@H](O[N+](=O)[O-])C1,YWXYYJSYQOXTPL-SLPGGIOYSA-N,0.70,"Major RM, Taylor T, Chasseaud LF, Darragh A, and Lambe RF (1984) Isosorbide 5-mononitrate kinetics.  Clin. Pharmacol. Ther. 35: 653-659.  Straehl P, Galeazzi RL, and Soliva M (1984) Isosorbide 5-mononitrate and isosorbide 2-mononitrate kinetics after intravenous and oral dosing.  Clin. Pharmacol. Ther.  36: 485-491.",
338,Isoxicam,34552-84-6,34552-84-6,S1(=O)(=O)N(/C(=C(/O)\Nc2noc(c2)C)/C(=O)c2c1cccc2)C,LXLDMERTXJKSMN-WYMLVPIESA-N,0.19,"Kolle EU and Vollmer KO (1986) Pharmacokinetics of isoxicam following intravenous, intramuscular, oral and rectal administration in healthy volunteers.  Br. J. Clin. Pharmacol. 22(Suppl 2): 135S-141S.  Jolliet P, Simon N, Bree F, Urien S, Pagliara A, Carrupt PA, Testa B, and Tillement JP (1997) Blood-to-brain transfer of various oxicams: effects of plasma binding on their brain delivery.  Pharm. Res. 14: 650-656.",VDss calculated from C vs t data obtained by digitization of plots in the reference.
339,Isradipine,75695-93-1,75695-93-1,o1nc2c(C3C(=C(NC(=C3C(=O)OC)C)C)C(=O)OC(C)C)cccc2n1,HMJIYCCIJYRONP-UHFFFAOYSA-N,1.5,"Christensen HR, Antonsen K, Simonsen K, Lindekar A, Bonde J, Angelo HR, and Kampmann JP (2000) Bioavailability and pharmacokinetics of isradipine after oral and intravenous administration: half-life shorter than expected?  Pharmacol. Toxicol. 86: 178-182.  Kirsten R, Nelson K, Kirsten D, and Heintz B (1988) Clinical  pharmacokinetics  of vasodilators. Part I.  Clin. Pharmacokinet. 34: 457-482.  ",VDss was calculated from C vs t data obtained by digitization of the plot provided in the reference.
340,Itraconazole,84625-61-6,84625-61-6,Clc1c([C@]2(O[C@@H](CO2)COc2ccc(N3CCN(CC3)c3ccc(n4c(=O)n(nc4)C(CC)C)cc3)cc2)Cn2ncnc2)ccc(Cl)c1,VHVPQPYKVGDNFY-AVQIMAJZSA-N,7.4,"Heykants J, Van Peer A, Van de Velde V, Van Rooy P, Meuldermans W, Lavrijsen K, Woestenborghs R, Van Cutsem J, and Cauwenbergh G (1989) The clinical pharmacokinetics of itraconazole: an overview.  Mycoses  32(Suppl 1): 67-87.  ",VDss was calculated from C vs t data obtained by digitization of the plot provided in the reference.
341,IVL745,229627-58-1,229627-58-1,COC1=CC=C(CN(CCC(O)=O)C(=O)CNC(=O)CC2=CC(OC)=C(NC(=O)NC3=C(C)C=CC=C3)C=C2)C=C1OC,WZFRNNCNGXELDE-UHFFFAOYSA-N,0.25,"Rohatagi S, Shah B, Zhang J, Zeng Z, Kirkesseli S, and Jensen BK (2004) Estimating mass balance for inhaled drugs in humans: An example with a VLA-4 antagonist, IVL745.  J. Clin. Pharmacol. 44: 348-358.",
342,Ixabepilone,219989-84-1,219989-84-1,s1cc(nc1C)/C=C(/[C@H]1NC(=O)C[C@H](O)C(C(=O)[C@@H]([C@@H](O)[C@@H](CCC[C@]2(O[C@H]2C1)C)C)C)(C)C)\C,FABUFPQFXZVHFB-PVYNADRNSA-N,11,"Abraham J, Agrawal M, Bakke S, Rutt A, Edgerly M, Balis FM, Widemann B, Davis L, Damle B, Sonnichsen D, Lebwohl D, Bates S, Kotz H, and Fojo T (2003)  Phase I trial and pharmacokinetic study of BMS-247550, an epothilone B analog, administered intravenously on daily schedule for five days.  J. Clin. Oncol. 21: 1866-1873.",
343,Kanamycin,59-01-8,59-01-8,O([C@@H]1[C@@H](O)[C@H](OC2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)CN)[C@@H](N)C[C@H]1N)[C@H]1O[C@@H]([C@@H](O)[C@H](N)[C@H]1O)CO,SBUJHOSQTJFQJX-MMBTZOPTSA-N,0.26,"Kirby WMW, Clarke JT, Libke RD, and Regamey C (1976) Clinical pharmacology of amikacin and kanamycin.  J. Infect. Dis. 134: S312-S315.  Gordon RC, Regamey C, and Kirby WMM (1972) Serum protein binding of the aminoglycoside antibiotics.  Antimic. Agents Chemother. 2: 214-216.    Clarke JT, Libke RD, Regamey C, and Kirby WMM (1974) Comparative pharmacokinetics of amikacin and kanamycin.  Clin. Pharmacol. Ther. 15: 610-616.","VDss, CL not reported in Clarke paper but could be digitized."
344,Ketamine,6740-88-1,6740-88-1,Clc1c([C@@]2([NH2+]C)CCCCC2=O)cccc1,YQEZLKZALYSWHR-ZDUSSCGKSA-O,2.9,"Geisslinger G, Hering W, Thomann P, Knoll R, Kamp HD, and Brune K (1993) Pharmacokinetics and pharmacodynamics of ketamine enantiomers in surgical patients using a stereoselective analytical method.  Br. J. Anaesth. 70: 666-671.  Pedraz JL, Lanao JM, Calvo MB, Muriel C, Hernandez-Arbeiza J, and Dominguez-Gil A (1987) Pharmacokinetic and clinical evaluation of ketamine administered by i.v. and epidural routes.  Int. J. Clin. Pharmacol. Ther. Toxicol. 25: 77-80.  Clements JA and Nimmo WS (1981) Pharmacokinetics and analgesic effect of ketamine in man.  Br. J. Anaesth. 53: 27-30.  Dayton PG, Stiller RL, Cook DR, and Perel JM (1983) The binding of ketamine to plasma proteins:  emphasis on human plasma.  Eur. J. Clin. Pharmacol. 24: 825-831.  Hijazi Y and Boulieu R (2002) Protein binding of ketamine and its active metabolites in human serum.  Eur. J. Clin. Pharmacol. 58: 37-40.",Racemate; data were combined.
345,Ketanserin,74050-98-9,74050-98-9,O=c1n(CCN2CCC(C(=O)c3ccc(F)cc3)CC2)c(=O)c2c([nH]1)cccc2,FPCCSQOGAWCVBH-UHFFFAOYSA-N,3.9,"Heykants J, Van Peer A, Woestenborghs R, Gould S, and Mills J (1986) Pharmacokinetics of ketanserin and its metabolite ketanserin-ol in man after intravenous, intramuscular and oral administration.  Eur. J. Clin. Pharmacol. 31: 343-350.  Persson B, Pettersson A, and Hedner T (1987) Pharmacokinetics of ketanserin in patients wuith essential hypertension.  Eur. J. Clin. Pharmacol. 32: 259-265.  Trenk D, Mosler A, Kirch W, Meinertz T, and Jahnchen E (1983) Pharmacokinetics and pharmacodynamics of the 5-HT2 receptor antagonist ketanserin in man.  J. Cardiovasc. Pharmacol. 5: 1034-1039.  Barendregt JN, Van Peer A, Van Der Hoeven JG, Van Oene JC, and Tjandra YI (1990) Ketanserin pharmacokinetics in patients with renal failure. Br. J. Clin. Pharmacol. 29: 715-723.  Reimann IW, Okonkwo PO, and Klotz U (1983) Pharmacokinetics of ketanserin in man. Eur. J. Clin. Pharmacol. 25: 73-76.  ",
346,Ketobemidone,469-79-4,469-79-4,O=C(C1(c2cc(O)ccc2)CCN(CC1)C)CC,ALFGKMXHOUSVAD-UHFFFAOYSA-N,0.48,"Bondesson U, Arner S, Anderson P, Boreus LO, and Hartvig P (1980) Clinical pharmacokinetics and oral bioavailability of ketobemidone.  Eur. J. Clin. Pharmacol.  17: 45-50.",Calculated from reported rate micro-constants.
347,Ketoprofen,22071-15-4,22071-15-4,OC(=O)C(c1cccc(c1)C(=O)c1ccccc1)C,DKYWVDODHFEZIM-UHFFFAOYSA-N,0.13,"Debruyne D, de Ligny BH, Ryckelynck JP, Albessard F, and Moulin M (1987) Clinical pharmacokinetics of ketoprofen after single intravenous administration as a bolus or infusion.  Clin. Pharmacokinet. 12: 214-221.  Lee KJ,  Mower R, Hollenbeck T, Castelo J, Johnson N, Gordon P, Sinko PJ, Holme K, and Lee YH (2003) Modulation of nonspecific binding in ultrafiltration protein binding studies.  Pharm. Res. 20: 1015-1021.",
