std_smiles,VDss (L/kg)
C#C[C@]1(O)C=C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,-0.337
O=C(O)P(=O)(O)O,-0.301
CCN1C[C@@H]2CN(C)C[C@H](C1)C2OC(=O)c1ccc(Cl)cc1,0.954
Cn1c(=O)c2c(ncn2C[C@H](O)CO)n(C)c1=O,-0.377
N=C(N)c1ccc(C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N2CCC(OCC(=O)O)CC2)cc1,-0.538
CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,0.255
CCC1=CC2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)C3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,1.08
NCCCNc1ccc2c(CNCCO)nn3c4c(O)ccc(O)c4c(=O)c1c23,1.08
CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,0.38
CN(C)CCCN1c2ccccc2Sc2ccccc21,0.908
Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,-0.796
N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,1.72
CC(C)Cc1ccc([C@@H](C)C(=O)[O-])cc1,-0.824
NCC1OC(OC2CCC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(N)CC1O,-0.638
CC(Cl)C(N)=O,-0.721
COCCc1ccc(OCC(O)CNC(C)C)cc1,0.491
CCC(CO)NCCNC(CC)CO,0.23
C/C=C\C1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1,-0.678
CC(C)NCC(O)COc1cccc2[nH]ccc12,0.0792
NCCC(O)C(=O)N[C@@H]1C[C@H](N)C(O[C@H]2O[C@H](CN)[C@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O[C@H]1OC(CO)[C@@H](O)[C@H](N)[C@H]1O,-0.796
O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,0.881
CN(C)C1C(=O)C(C(N)=O)=C(O)C2(O)C(=O)C3=C(O)c4c(O)cccc4C(C)(O)C3CC12,0.0792
CN[C@H](CC(C)C)C(=O)NC1C(=O)N[C@@H](CC(N)=O)C(=O)NC2C(=O)NC3C(=O)NC(C(=O)N[C@@H](C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)[C@H](O)c3ccc(c(Cl)c3)Oc3cc2cc(c3O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@H]2C[C@](C)(N)[C@H](O)[C@H](C)O2)Oc2ccc(cc2Cl)[C@H]1O,-0.268
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,-0.0655
CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,-0.237
O=S(=O)(O)CCCN1CCN(CCO)CC1,0.462
CC(=O)C[C@H](c1ccccc1)c1c(O)c2ccccc2oc1=O,-0.886
NC[C@H]1CC[C@H](C(=O)O)CC1,-0.42
CN(C)N=Nc1ccc(C(=O)O)cc1,-0.602
[2H]C1([2H])C(Oc2cc(C3(C#N)CCC(C(=O)O)CC3)ccc2OC)C([2H])([2H])C([2H])([2H])C1([2H])[2H],-0.638
O=NN(CCCl)C(=O)NCCCl,0.0792
O=C1CN(/N=C\c2ccc([N+](=O)[O-])o2)C(=O)N1,-0.244
CCCCc1oc2ccccc2c1-c1c(C(=O)c2cc(I)c(OCCN(CC)CC)c(I)c2-c2c(CCCC)oc3ccccc23)cc(I)c(OCCN(CC)CC)c1I,1.78
CC(C)(C)[C@@]1(O)C[C@H]2OC(=O)C[C@]23C(=O)O[C@H]2OC(=O)[C@@H](O)[C@@]213,0.398
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,-0.237
CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,0.114
CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CNC(CNS(N)(=O)=O)C3)C(C)C12,-0.824
COc1ccc(C)cc1N1CCN(CCCNc2cc(=O)n(C)c(=O)n2C)CC1,-0.125
CO[C@@H]1[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](OC(=O)CC(C)C)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)[C@@H](O)/C=C/C=C/C[C@@H](C)OC(=O)C[C@H]1OC(C)=O,-0.77
CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)c1c[nH]c3ccccc13)C2,0.987
C[C@@H]1C(=O)O[C@H]2[C@H](O)C34[C@H]5C[C@@H](C(C)(C)C)C36C(OC(=O)[C@@H]6O)O[C@]4(C(=O)O5)[C@@]12O,-0.041
CN(C)C(=N)NC(=N)N,-0.194
C=CC[N@@+]12CC[C@@]34c5ccccc5N5C=C6[C@H]7C[C@H]8[C@@]9(CC[N@@+]8(CC=C)C/C7=C/CO)c7ccccc7N(C=C([C@@H](C[C@@H]31)/C(=C\CO)C2)[C@H]54)[C@@H]69,-0.495
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,-0.0223
COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5COC(c6cccs6)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,-0.387
CNCCCN1c2ccccc2CCc2ccccc21,1.18
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,1.26
CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2,0.279
COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC,0.176
CCCCc1ncc(C=C(Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)cc1,-0.77
O=C1CCC2CCCCC2C1,-0.77
C[C@]12CC(=O)[C@@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@@]2(O)C(=O)CO,-0.244
CCN(CC)CCNC(=O)c1cc(Br)c(N)cc1OC,0.491
NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)C(O)[C@H]2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)[C@H](N)[C@@H](O)[C@@H]1O,-0.602
CN[C@H]1C(=O)N[C@@H]2Cc3ccc(cc3)Oc3cc4cc(c3O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3NC(=O)CCCCCCCCC(C)C)Oc3ccc(cc3Cl)[C@@H](O)[C@@H]3NC(=O)[C@H](NC(=O)[C@@H]4NC(=O)[C@@H](NC2=O)c2cc(cc(O)c2Cl)Oc2ccc1cc2O)c1ccc(O)c(c1)-c1c(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)cc(O)cc1[C@@H](C(=O)NCCCN(C)C)NC3=O,-0.854
O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1(O)O,-0.699
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)C(O)C(C)O1,1.34
CC1(C)C(/C=C\C=C\C=C/C=C2\N(CCCCS(=O)(=O)[O-])c3c(ccc4ccccc34)C2(C)C)=[N+](CCCCS(=O)(=O)[O-])c2c1ccc1ccccc21,-1.46
CC1(C)C[C@@H]1C(=O)N/C(=C\CCCCSC[C@H](N)C(=O)O)C(=O)O,-0.824
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]3(C)CCCC3)CS[C@H]12)c1csc(N)n1,-0.553
CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,-0.0862
CNC(=O)c1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,-0.77
O=C(O)Cn1c(=O)c(=O)[nH]c2cc([N+](=O)[O-])c(-n3ccnc3)cc21,-0.721
CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,-0.854
Clc1cccc(Cl)c1NC1=NCCN1,0.519
NC(=O)OC[C@@H]1[C@H](NC(=O)/C(=N\OCC(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,-0.745
CCNCC(O)c1cccc(O)c1,0.322
[2H]C([2H])(N)C([2H])([2H])OCC1=C(C(=O)OCC)C(c2ccccc2Cl)C(C(=O)OC)=C(C)N1,1.23
Cc1cccc(C)c1NC(=O)C(C)N,0.255
C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)N1,1.04
CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O,-0.721
CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,0.23
COC1(NC(=O)CSCC#N)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CSC21,-0.886
CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,0.556
Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,1.26
CCCC(=O)OCN1C(C)=C(C(=O)[O-])C(c2cccc(Cl)c2Cl)C(C(=O)OC)=C1C,-0.237
C[C@H]([C@](O)(Cn1cncn1)c1ccc(F)cc1F)S(C)(=O)=O,-0.208
COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,0.301
CN1CCOC(c2ccccc2)c2ccccc2C1,0.748
S=P(N1CC1)(N1CC1)N1CC1,0.204
CC#CCC(C)[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)C[C@H]2C[C@H]1O,-0.432
C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O,0.0414
NC[C@@H]1CC[C@@H](N)[C@@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)O1,-0.886
CCC(C)(C)NCC(O)COc1ccccc1C(=O)CCc1ccccc1,0.0792
CC[C@H]1OC(=O)[C@H](C)[C@H](O[C@H]2C[C@@](C)(OC)[C@H](O)[C@H](C)O2)[C@H](C)[C@H](O[C@H]2O[C@@H](C)C[C@@H](N(C)C)[C@@H]2O)[C@@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@H](O)[C@@]1(C)O,-0.0223
Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1)N2C=O,-0.602
O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21,-0.854
CC(=N)N1CC[C@H](SC2=C(C(=O)O)N3C(=O)[C@H]([C@@H](C)O)[C@H]3C2)C1,-0.721
C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6C[C@@H](O)[C@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,0.613
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,-0.0223
COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,0.362
CC(C)c1cccc(O)c1C(C)C,0.672
O[C@](CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2,1.08
CN[C@@H]1C[C@@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)N[C@@H]4O,-0.824
Cc1cnc(NCCCN(C)C)c2c1[nH]c1ccc3cc(O)ccc3c12,1.04
O=c1cnc(-c2ccccc2Cl)c2cc(Cl)ccc2n1,0.342
CCN[C@@H](C)Cc1cccc(C(F)(F)F)c1,1.04
CC[C@@]1(O)CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,0.833
CCC(=O)OC(Cc1ccccc1)(c1ccccc1)C(C)CN(C)C,1.08
Cc1onc(-c2c(F)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,-0.721
COc1ccc(CCNCC(O)COc2cccc(C)c2)cc1OC,-0.174
CCCCCCCCCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](CC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@]1(C)C(=O)NCC(=O)N[C@@H](CCCN)C(=O)N[C@H](CC(=O)O)C(=O)N[C@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@@H]([C@H](C)CC(=O)O)C(=O)N[C@H](CC(=O)c2ccccc2N)C(=O)O[C@@H]1C,-1.06
COc1nc(C)nc(Cl)c1NC1=NCCN1,0.255
CC(=O)C1(O)Cc2c(O)c3c(c(O)c2C(OC2CC(N)C(O)C(C)O2)C1)C(=O)c1ccccc1C3=O,1.58
COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC,0.114
NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,-0.0506
O=[N+]([O-])O[C@@H]1CO[C@@H]2[C@@H](O)CO[C@H]12,-0.155
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,0.568
O=C1CCNC(=O)C1,0.0414
CCC(C)CC(C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@H](NCCN)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@@H](O)CCN)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,-0.886
O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-],0.279
CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C2SC(C)(C)C3C(=O)O)c2ccccc2)C(=O)C1=O,-0.569
Cc1cc(N/C(O)=C2/C(=O)c3ccccc3S(=O)(=O)N2C)no1,-0.721
CCN1CCN(C(=O)NC(C(=O)N[C@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@@H]23)c2ccc(O)cc2)C(=O)C1=O,-0.77
Cc1nc2c([nH]1)-c1ccccc1N(C(=O)c1ccc(NC(=O)c3ccccc3-c3ccccc3)cc1)CC2,-0.119
C[C@@H]1CC(=O)NN=C1c1ccc(NN=C(C#N)C#N)cc1,-0.62
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,-0.62
CCCC(C)(COC(N)=O)COC(N)=O,-0.155
O=C(O)C(Cl)Cl,-0.721
CN(C)CCCN1c2ccccc2CCc2ccccc21,1.08
C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6CC[C@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,-0.357
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,-0.347
COc1ccc2c(c1)Sc1ccccc1N2CC(C)CN(C)C,1.08
CCOC(=O)C1(c2ccccc2)CCC=C[C@H]1N(C)C,0.602
N=C(N)NCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSCCC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O,-0.523
CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,-0.367
COc1ccc([C@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@H]2OC(C)=O)cc1,0.613
NC(CCCCNC(=O)[C@@H](Cc1cc(Br)c(O)c(Br)c1)NC(=O)N1CCC(N2Cc3ccccc3NC2=O)CC1)C(=O)N1CCN(c2ccncc2)CC1,-0.509
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,0.362
CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC,-0.187
Cc1nnc(SCC2=C(C(=O)O)N3C(=O)C(NC(=O)Cn4cnnn4)C3SC2)s1,-0.921
O=C1CCCOc2ccc(Br)cc21,-0.0809
COC(=O)C(c1ccccc1)C1CCCCN1,0.342
C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1Cc2ccccc2C[C@H]1C(=O)O,-0.886
CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,-0.796
CCOC(=O)[C@@]1(c2ccccc2)CCC=C[C@@H]1NC,0.398
Cn1c(=O)c2[nH]cnc2n(C)c1=O,-0.292
CC1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1,0.591
CCC(CC)COC(C(=O)OCCN(C)C)(c1ccccc1)c1ccccc1,0.851
C#CCN(C)C(C)Cc1ccccc1,0.279
COc1ccc2c3c1OC1C(=O)CCC4(O)C(C2)N(C)CCC314,0.398
C[N@@H+]1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,0.204
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O[C@@H](C(=O)O[C@H]1C[C@@]2(O)[C@@H](OC(=O)c3ccccc3)[C@H]3[C@](C)(C(=O)[C@H](OC(C)=O)C(=C1C)C2(C)C)[C@@H](O)C[C@H]1OC[C@]13OC(C)=O)[C@@H](NC(=O)c1ccccc1)c1ccccc1,-1.17
C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)C=CC(=O)C=C12,0.0792
CN(C)CC[C@H](c1ccc(Cl)cc1)c1ccccn1,0.519
CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12,0.255
OCCN1CC(O)C(O)[C@@H](O)C1CO,-0.553
O=C(NCC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,-0.796
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,0.0792
COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,0.146
C#C[C@]1(OS(=O)(=O)O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,-0.215
Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,-0.268
CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@]3(Cl)[C@@H](O)C[C@@]21C,-0.538
Cc1cccc(N2CC(CO)OC2=O)c1,0.176
NNOC(=O)c1ccncc1,-0.0862
CCCn1c(=O)[nH]c(=O)c2nc[nH]c21,-0.201
NCCCCCC(=O)O,-0.409
CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12,0.342
O=C(Cc1cccs1)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12,-0.337
CCC1=CC2CN(C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2,1.36
Nc1n[n+]([O-])c2ccccc2[n+]1[O-],-0.252
CCOC(=O)C(N)C(=O)OCC,0.114
CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,0.949
Nc1nc2c(ncn2COC(CO)CO)c(=O)[nH]1,0.0
CCN(CC)CCS(=O)(=O)[C@@H]1CCN2C(=O)c3coc(n3)CC(=O)C[C@H](O)/C=C(C)/C=C/CNC(=O)/C=C/[C@@H](C)[C@@H](C(C)C)OC(=O)[C@@H]12,-0.409
CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21,0.556
COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2nonc12,0.176
CC(=O)CC(=O)Nc1ccc(-c2ccccc2)cc1,-0.398
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@H]3C[C@@H](C(=O)N4CCC[C@@H]4NC(=O)CNC(=N)N)N(C)C3)[C@H](C)[C@H]12,-0.638
CCN1CC(CCN2CCOCC2)C(c2ccccc2)(c2ccccc2)C1=O,0.0792
CCOc1ccc(/C=C2\NCCc3cc(OCC)c(OCC)cc32)cc1OCC,0.279
COC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](OC(C)=O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@@H]12)C3(C)C,0.839
CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)[C@H](C(=O)O)C(C)C,-0.658
COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314,0.544
O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O,-0.222
COCc1c(C(C)C)nc(C(C)C)c(/C=C/C2CC(O)CC(=O)O2)c1-c1ccc(F)cc1,-0.481
[2H]C1([2H])N(C)C([2H])([2H])C([2H])([2H])N(C2=Nc3cc(Cl)ccc3Nc3ccccc32)C1([2H])[2H],0.204
CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(=O)/C(=C(/N)O)C(=O)[C@@]3(O)C(=O)C1=C2O,0.204
CC(=O)c1cc[nH]c1C(N)=O,-0.432
CC1(C)S[C@H]2[C@@H](NC(=O)[C@@H](N)c3ccccc3)C(=O)N2[C@@H]1C(=O)O,-0.658
COC(=O)C[C@@H](CC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1)O[Si](C)(C)C(C)(C)C,0.681
c1ccc(C2(c3ccccc3)CC2C2=NCCN2)cc1,0.613
NC1=NC(=O)C([C@H]2CO[C@H](CO)O2)C=N1,0.0
[2H]C([2H])([2H])OC(=O)C1=C(C)NC(C)=C(C(=O)OC([2H])([2H])[2H])C1c1cccc(Cl)c1Cl,0.643
CN1CC[C@]23c4c5ccc(O)c4O[C@@H]2[C@H](O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)C=C[C@H]3[C@H]1C5,-0.921
Nc1ccc([S+](=O)([O-])Nc2ncccn2)cc1,-0.538
Cc1cccc(C)c1NC(=O)C1CCCCN1C,-0.0223
NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NCNS2(=O)=O,0.342
CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)CSc3ccncc3)C2SC1,-0.886
CCN(CC)CCNC(=O)c1ccc(NS(C)(=O)=O)cc1,-0.0862
CCCC1C(=O)N2C(N(C)C)=Nc3ccc(C)cc3N2C1=O,-0.921
CCC[C@@H]1CC(C(=O)N[C@H]([C@@H](C)O)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1,0.0
CC(=O)NC1C(NC(=N)N)C=C(C(=O)O)OC1C(O)C(O)CO,-0.638
CO[C@@]1(NC(=O)[C@H](C(=O)O)c2ccc(O)cc2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CO[C@@H]21,-0.77
CCOc1ccccc1O[C@@H](c1ccccc1)[C@@H]1CNCCO1,-0.187
CNC1C(O)C(OC2C(NC(=O)C(O)CN)CC(N)C(O)C2O)OCC1(C)OC1OC(CN)C(O)C(O)C1O,-0.495
O=c1[nH]cc(F)c(=O)[nH]1,-0.638
CC[C@]1(O)C[C@H]2CN(CCC3C(=Nc4ccccc43)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(N)=O)[C@H](O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,0.699
CCO[C@@H](Cc1ccc(OCCc2ccc(OS(C)(=O)=O)cc2)cc1)C(=O)O,-0.886
COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,0.643
O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,0.0414
CCN[C@@H]1C[C@H](N)[C@@H](O[C@H]2OC(CN)=CC[C@H]2N)[C@H](O)[C@H]1O[C@H]1OC[C@](C)(O)[C@H](NC)[C@H]1O,-1.14
Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c23)cc1NC(=O)c1cccc(NC(=O)Nc2cccc(C(=O)Nc3cc(C(=O)Nc4ccc(S(=O)(=O)O)c5cc(S(=O)(=O)O)cc(S(=O)(=O)O)c45)ccc3C)c2)c1,-0.268
CN(C)CCNc1ccc2c3c(nn2CCNCCO)-c2cnccc2C(=O)c13,1.76
C=CC[N+]1([C@H]2C[C@H]3[C@@H]4CC[C@H]5C[C@H](O)[C@@H](N6CCOCC6)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2OC(C)=O)CCCC1,-0.678
Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,0.176
CN(C)CCC[N+]1([O-])c2ccccc2CCc2ccccc21,0.279
NNc1nncc2ccccc12,0.176
COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,0.114
CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3C1C5,0.633
C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)C(=NOCC(=O)O)c3csc(N)n3)[C@H]2SC1,-0.62
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,0.176
CC(=O)N[C@@H](CS)C(=O)[O-],-0.26
