std_smiles,human_VDss_L/kg
CS(=O)(=O)OCCN(CCBr)c1c(C(=O)NCCOP(=O)(O)O)cc([N+](=O)[O-])cc1[N+](=O)[O-],0.86
O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,7.5
CSCC[C@H](N)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCC(=O)O,0.73
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(O)ccc3nc2-1,0.22
COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,3.1
Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,2.2
Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](CO)C(O)C1O,2.2
CNCCCN1c2ccccc2CCc2ccccc21,15.0
CC(C)Cc1ccc([C@@H](C)C(=O)[O-])cc1,0.15
CC(C)Cc1ccc(C(C)C(=O)O)cc1,0.15
C[C@H]([C@](O)(Cn1cncn1)c1ccc(F)cc1F)S(C)(=O)=O,0.62
C[C@@H]([C@@](O)(Cn1cncn1)c1ccc(F)cc1F)S(C)(=O)=O,0.62
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C([C@H]3CCCO3)S[C@H]12,0.18
CN1CCc2nc(C(=O)N[C@@H]3C[C@@H](C(=O)N(C)C)CC[C@@H]3NC(=O)C(=O)Nc3ccc(Cl)cn3)sc2C1,1.53
CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(N)=O)[C@H](O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,5.0
Cc1cc(OC[C@H](O)CNC(C)C)c(C)c(C)c1O,3.6
CC#CCC(C)[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)C[C@H]2C[C@H]1O,0.37
CC(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)O,
CO/N=C(\C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@H]12)c1csc(N)n1,0.2
CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,0.59
COc1ccc([C@@H]2CNC(=O)C2)cc1OC1CCCC1,0.67
O=C(O)c1cccc(Cc2cc(Cl)ccc2OCc2ccc(Cl)cc2F)n1,0.77
CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(cc(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,0.97
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)c(NC(=O)CN5CCCC5)cc(F)c4C[C@H]3C[C@@H]12,2.3
CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1,3.28
CN(C)[C@@H]1C(O)=C(C(=O)NCN2CCCC2)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,0.54
COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2nonc12,1.5
CN(C)CCN(Cc1cccs1)c1ccccn1,3.3
O=P1(NCCCl)OCCCN1CCCl,0.62
CC[C@@H](C(N)=O)N1CCCC1=O,0.6
N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,1.9
c1ccc2c(c1)OCC(C1=NCCN1)O2,3.3
CC[C@H](C)[C@@H]1NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCSC)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)CNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)CNC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](NC(=O)[C@H](CCSC)NC(=O)[C@H](CCCCN)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](N)CO)C(C)C)CSSC[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc2c[nH]cn2)C(=O)O)C(C)C)NC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC1=O,0.19
COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2,0.77
CC(C)C[C@@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@H]1CCCN1C(=O)[C@@H](CCC(N)=O)NC(=O)[C@H](NC(=O)[C@H]1CCCN1C(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](CO)NC(=O)[C@@H](CCC(N)=O)NC(=O)[C@H](N)CC(=O)O)C(C)C)C(=O)N[C@H](CC(N)=O)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N1CCC[C@@H]1C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCCN)C(=O)N1CCC[C@@H]1C(=O)N[C@H](CCCNC(=N)N)C(=O)N1CCC[C@@H]1C(=O)N1CCC[C@@H]1C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCC(N)=O)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCCN)C(=O)N[C@H](CCCCN)C(=O)N[C@H](CCCNC(=N)N)C(=O)NCC(=O)O)[C@H](C)O)[C@H](C)O,0.22
COc1ccccc1N1CCN(C[C@@H](O)COc2cccc3ccccc23)CC1,
COc1ccnc(C[S+]([O-])c2nc3cc(-n4cccc4)ccc3[nH]2)c1C,0.19
CCOC(=O)[C@H](CCc1ccccc1)N[C@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2,0.43
COc1ccc([C@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@H]2OC(C)=O)cc1,4.1
CCC1(c2cnc[nH]2)Cc2ccccc2C1,2.7
CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,17.0
[2H]C([2H])(N)C([2H])([2H])OCC1=C(C(=O)OCC)C(c2ccccc2Cl)C(C(=O)OC)=C(C)N1,17.0
CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,0.13
CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,1.3
O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,0.09699999999999999
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]3(C)CCCC3)CS[C@H]12)c1csc(N)n1,0.28
Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,1.03
NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CCN(CCc2ccc3c(c2)CCO3)C1,2.6
COc1ccc(CCNCC(O)COc2cccc(C)c2)cc1OC,0.67
CN(C)[C@@H]1C(=O)/C(=C(/N)O)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)ccc(Cl)c4[C@@H](O)[C@H]3C[C@@H]12,1.3
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@H]3C[C@@H](C(=O)N4CCC[C@@H]4NC(=O)CNC(=N)N)N(C)C3)[C@H](C)[C@H]12,0.23
O=[N+]([O-])OC[C@H](O)CO,0.76
COC(=O)C[C@@](O)(CCCC(C)(C)O)C(=O)O[C@@H]1C(OC)=C[C@]23CCCN2CCc2cc4c(cc2[C@H]13)OCO4,1.8
CN(CC(N)=O)C(=O)N(CCCl)N=O,0.76
C[C@H]1C(=O)O[C@H]2[CH]C34[C@H]5[CH][C@@H](C(C)(C)C)C36C(OC(=O)[C@@H]6O)O[C@@]4(C(=O)O5)[C@]21O,0.62
O=C(O)[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21,0.22
O=C(O)[C@H]1C(=CCO)O[C@@H]2CC(=O)N21,0.22
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,6.1
OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,0.28
OCCN1CC(O)C(O)[C@@H](O)C1CO,0.28
CC(C)(C)[C@H](NC(=O)[C@H](CC1CCCC1)CN(O)C=O)C(=O)N1CCN(Cc2ccc3c(c2)OCO3)CC1,1.1
COc1ccccc1N1CCN(CCCNc2cc(=O)n(C)c(=O)n2C)CC1,0.75
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,0.45
Nc1nc(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F,0.91
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,2.0
CC(=O)O[C@H]1C[C@@]2(C)[C@@H](C[C@@H](O)[C@H]3[C@]4(C)CC[C@@H](O)[C@@H](C)[C@@H]4CC[C@]32C)/C1=C(/CCC=C(C)C)C(=O)[O-],0.23
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,1.5
C#CCN(Cc1cc2c(=O)nc(C)[nH]c2cc1C)c1ccc(C(=O)N[C@@H](CCc2nnn[nH]2)C(=O)O)c(F)c1,0.53
COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,0.73
Oc1ccc2c(c1)[C@@]13CCCC[C@@]1(O)[C@@H](C2)N(CC1CCC1)CC3,12.0
CN(c1nc2ccccc2s1)C1CCN(C[C@@H](O)COc2ccc(F)cc2)CC1,5.5
N#CC(CCN1CCC(C(N)=O)(N2CCCCC2)CC1)(c1ccccc1)c1ccccc1,4.7
Cc1cc(C)c2c(c1)[C@@H](N(Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1nnn(C)n1)CCCN2C[C@H]1CC[C@H](C(=O)O)CC1,1.82
NC(=O)CN1CC(O)CC1=O,0.55
O=P(O)(O)C(O)(Cc1cccnc1)P(=O)(O)O,6.3
CCCCCNC(=N)N/N=C/c1c[nH]c2ccc(OC)cc12,5.3
Cc1nc2c([nH]1)-c1ccccc1N(C(=O)c1ccc(NC(=O)c3ccccc3-c3ccccc3)cc1)CC2,0.76
O=S(=O)(O)c1cc(O)ccc1O,0.12
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(COC(N)=O)S[C@H]12,0.24
COc1cc2c(cc1OC)C(Cc1cc(OC)c(OC)c(OC)c1)[N+](C)(CCCOC(=O)CC/C=C/CCC(=O)OCCC[N+]1(C)CCc3cc(OC)c(OC)cc3C1Cc1cc(OC)c(OC)c(OC)c1)CC2,0.27
COc1cc2c(cc1OC)[C@@H](Cc1cc(OC)c(OC)c(OC)c1)[N+](C)(CCCOC(=O)CCC=CCCC(=O)OCCC[N+]1(C)CCc3cc(OC)c(OC)cc3[C@H]1Cc1cc(OC)c(OC)c(OC)c1)CC2,0.27
COc1cc(NC(C)CCCN)c2ncccc2c1,4.0
N=C(N)NC(=O)Cc1c(Cl)cccc1Cl,5.6
C[C@H](CN1CCOCC1)C(C(=O)N1CCCC1)(c1ccccc1)c1ccccc1,0.47
Cc1cccc(C)c1NC(=O)C1CCCCN1C,0.95
Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2)s1,0.15
O=C(O)C[C@@H]1CC[C@H](NC(=O)Cc2cccs2)B(O)O1,0.29
C[C@H](NCCc1ccc(O)cc1)[C@H](O)c1ccc(O)cc1,4.4
C[C@@H](NCCc1ccc(O)cc1)[C@@H](O)c1ccc(O)cc1,4.4
c1ccc(C2(c3ccccc3)CC2C2=NCCN2)cc1,4.1
CCOC(=O)C1(c2ccccc2)CCN(CCC(O)c2ccccc2)CC1,5.7
Cc1ncc([N+](=O)[O-])n1C[C@H](O)CCl,1.16
NCCCNc1ccc2c(CNCCO)nn3c4c(O)ccc(O)c4c(=O)c1c23,12.0
COc1ccnc(C[S+]([O-])c2nc3ccc(OC(F)F)cc3[nH]2)c1OC,0.17
Nc1nc2c(ncn2COC(CO)CO)c(=O)[nH]1,1.0
CCCCc1oc2ccccc2c1-c1c(C(=O)c2cc(I)c(OCCN(CC)CC)c(I)c2-c2c(CCCC)oc3ccccc23)cc(I)c(OCCN(CC)CC)c1I,60.0
CCCC(=O)OCN1C(C)=C(C(=O)[O-])C(c2cccc(Cl)c2Cl)C(C(=O)OC)=C1C,0.58
NCCCC[C@H](NC(=O)[C@@H](Cc1cc(Br)c(O)c(Br)c1)NC(=O)N1CCC(N2Cc3ccccc3NC2=O)CC1)C(=O)N1CCN(c2ccncc2)CC1,0.31
CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,1.2
COC[C@@H](O)CN(C(C)=O)c1c(I)c(C(=O)NC[C@H](O)CO)c(I)c(C(=O)NC[C@H](O)CO)c1I,0.2
CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@@H]2O)[C@@H](CC=O)C[C@@H](C)C(=O)C=C[C@]2(C)O[C@H]2[C@@H]1C,2.83
CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C2SC(C)(C)C3C(=O)O)c2ccccc2)C(=O)C1=O,0.27
Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s3)ccc2[nH]1,6.57
C[C@@H](N/C(=N\c1ccncc1)NC#N)C(C)(C)C,1.1
CO/N=C(/C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccc(-c4cnco4)cc3)CS[C@H]12)c1csc(N)n1,0.22
O=c1[nH]cnc2c([C@@H]3N[C@H](CO)[C@@H](O)[C@H]3O)c[nH]c12,
NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,14.0
NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)C2O)n1,14.0
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12,1.7
COc1nc(N)nc2c1ncn2[C@@H]1O[C@H](CO)C(O)C1O,4.9
COc1nc(N)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,4.9
CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,3.3
COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1NC(=O)[C@@H](N)CO,0.44
CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3OC(CNCCO)=CC[C@H]3N)[C@@H](N)C[C@H]2NC(=O)[C@@H](O)CCN)OC[C@]1(C)O,0.22
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,60.0
OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,0.82
CN[C@H]1C(=O)N[C@@H]2Cc3ccc(cc3)Oc3cc4cc(c3O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3NC(=O)CCCCCCCCC(C)C)Oc3ccc(cc3Cl)[C@@H](O)[C@@H]3NC(=O)[C@H](NC(=O)[C@@H]4NC(=O)[C@@H](NC2=O)c2cc(cc(O)c2Cl)Oc2ccc1cc2O)c1ccc(O)c(c1)-c1c(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)cc(O)cc1[C@@H](C(=O)NCCCN(C)C)NC3=O,0.14
CN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13,11.5
C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21,0.69
C[n+]1ccccc1/C=N/O,0.8
O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,0.26
CN(C)c1cc(CNCC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,2.7
CN(CCC(=O)/C=C/c1ccc(O)cc1)CCc1ccc2c(c1)OCO2,2.13
CC1=NS(=O)(O)=c2cc(Cl)ccc2=N1,0.21
CC1(C)S[C@@H]2[C@H](NC(=O)[C@@H](c3ccccc3)S(=O)(=O)O)C(=O)N2[C@H]1C(=O)O,0.15
C#C[C@@]1(O)[C@@H](CO)O[C@H](n2ccc(N)nc2=O)[C@@H]1O,1.1
COc1cc2c3cc1Oc1cc(ccc1O)C[C@@H]1c4c(cc(OC)c(O)c4Oc4ccc(cc4)C[C@@H]3N(C)CC2)CC[N+]1(C)C,0.45
COc1cc2c3cc1Oc1cc(ccc1O)C[C@@H]1c4c(cc(OC)c(O)c4Oc4ccc(cc4)CC3[NH+](C)CC2)CC[N+]1(C)C,0.45
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@H]12)c1ccco1,0.15
CON=C(C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@H]12)c1ccco1,0.15
COc1ccc2cc1Oc1cc3c(cc1OC)CC[N+](C)(C)[C@H]3Cc1ccc(cc1)Oc1c(OC)c(OC)cc3c1[C@@H](C2)[N+](C)(C)CC3,0.4
CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,0.24
CC1(C)S[C@@H]2C(NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,0.24
C#C[C@]1(OS(=O)(=O)O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,0.61
CCCCCOc1ccc(-c2ccc(-c3ccc(C(=O)N[C@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@@H](C)O)NC(=O)C([C@H](O)[C@@H](O)c5ccc(O)cc5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)C([C@@H](C)O)NC4=O)cc3)cc2)cc1,0.57
CCCCCOc1ccc(-c2ccc(-c3ccc(C(=O)N[C@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@@H](O)c5ccc(O)cc5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@@H](C)O)NC4=O)cc3)cc2)cc1,0.57
CN1c2ccccc2[C@@H](NCCCCCCC(=O)O)c2ccc(Cl)cc2S1(=O)=O,0.3
NCC1OC(OC2CCC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(N)CC1O,0.23
NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,3.9
NC[C@@H]1CC[C@@H](N)[C@@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)O1,0.13
NCCCNCCSP(=O)(O)O,0.09
CCC1(c2cccc(O)c2)CCCCN(C)C1,3.3
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,0.3
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,0.12
O=C1CCCOc2ccc(Br)cc21,0.83
Nc1ccc([S+](=O)([O-])Nc2ncccn2)cc1,0.29
Nc1nc(=O)c2ncn(CCC(CO)CO)c2[nH]1,1.1
N#Cc1ccc(Cn2cncc2CN2CCN(c3cccc(Cl)c3)C(=O)C2)cc1,0.8
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,0.58
CCn1cc(C(=O)O)c(=O)c2cnc(N3CCNCC3)nc21,0.88
CN1C2CCC1CC(=C1c3ccccc3CSc3ccccc31)C2,11.85
COc1ccc2c(c1)Sc1ccccc1N2CC(C)CN(C)C,12.0
Cc1[nH]c(=O)c(C#N)cc1-c1ccc2nccn2c1,0.64
COc1cc([S+](C)[O-])ccc1-c1nc2cnccc2[nH]1,1.67
CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,0.97
COc1cc(NS(C)(=O)=O)ccc1Cc1c2ccccc2nc2ccccc12,1.6
CCN(CC)C(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1,0.27
C[C@H](CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1,
CCN(CC)CCN1C(=O)c2c(c3c4cccc(Cl)c4n([C@@H]4O[C@H](CO)[C@@H](OC)[C@H](O)[C@H]4O)c3c3[nH]c4c(Cl)cccc4c23)C1=O,8.9
Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O,1.1
Cc1ccc2c(-c3ccccc3)nc(=O)n(C(C)C)c2c1,0.52
CCN(CC)CCNC(=O)c1cc(S(C)(=O)=O)ccc1OC,1.1
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,0.26
Nc1nc(OCc2cc(Br)cs2)c2[nH]cnc2n1,
Cc1nc2sccn2c(=O)c1CCN1CCC(=C(c2ccc(F)cc2)c2ccc(F)cc2)CC1,1.41
CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)nc1N,1.1
CON=C(C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(C[N+]34CCC(C(N)=O)(CC3)CC4)CSC12)c1nsc(N)n1,0.27
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)Nc4cccc(C(=O)O)c4)C3)[C@H](C)[C@H]12,0.12
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@@H](C(=O)Nc4cccc(C(=O)O)c4)C3)[C@H](C)[C@H]12,0.12
CCOc1ccc(Cc2cc(C3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1,1.7
C[N+]1(CC2CC2)CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,2.6
CO[C@@]1(NC(=O)[C@H](C(=O)O)c2ccc(O)cc2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CO[C@@H]21,0.17
CC(C)NCC(O)c1ccc(O)c(O)c1,1.5
CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,28.0
O=C(O)C(Cl)Cl,0.19
O=C(NC1CCN(CCc2c[nH]c3ccccc23)CC1)c1ccccc1,4.9
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,0.38
CCC(C)CC(C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@H](NCCN)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@@H](O)CCN)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,0.13
CCC(C)CC(C)CCCCCCCCC(=O)NC1CC(O)C(NCCN)NC(=O)C2C(O)CCN2C(=O)C(C(O)CCN)NC(=O)C(C(O)C(O)c2ccc(O)cc2)NC(=O)C2CC(O)CN2C(=O)C(C(C)O)NC1=O,0.13
C[C@H]1CCc2c(N3CCC(O)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,0.25
Cc1ccc(-n2nccn2)c(C(=O)N2CCN(c3nc4cc(Cl)ccc4o3)CC[C@H]2C)c1,0.69
CC(C)NCC(O)COc1cccc2[nH]ccc12,1.2
CO[C@H]1O[C@H](COS(=O)(=O)O)[C@@H](O[C@@H]2O[C@@H](C(=O)O)[C@@H](O[C@H]3O[C@H](COS(=O)(=O)O)[C@@H](O[C@@H]4O[C@H](C(=O)O)[C@@H](O[C@H]5O[C@H](COS(=O)(=O)O)[C@@H](O)[C@H](O)[C@H]5NS(=O)(=O)O)[C@H](O)[C@H]4O)[C@H](OS(=O)(=O)O)[C@H]3NS(=O)(=O)O)[C@H](O)[C@H]2OS(=O)(=O)O)[C@H](O)[C@H]1NS(=O)(=O)O,
CCN(CC)CCOC(=O)C(Cc1cccc2ccccc12)CC1CCCO1,0.98
Nc1ccc(O)c(C(=O)O)c1,0.33
CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,6.35
CCC[C@@H]1C[C@@H](C(=O)N[C@H]([C@H](C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1,0.79
CCC[C@@H]1C[C@@H](C(=O)N[C@@H](C(C)Cl)[C@H]2O[C@@H](SC)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1,0.79
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@H]3C[C@@H](C(=O)N4CC[C@H](NC(=O)CNC(=N)N)C4)N(C)C3)[C@H](C)[C@H]12,0.23
COc1ccc(CCN(C)CCCN2CCc3cc(OC)c(OC)cc3CC2=O)cc1OC,1.6
CCN(CC)CCNC(=O)c1ccc(NC(C)=O)cc1,1.9
N[C@@H](CCC(=O)N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O)C(=O)O,0.21
CCCN(CCc1cccs1)[C@H]1CCc2c(O)cccc2C1,5.7
O=C(NC[C@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1,0.7
CN[C@H]1C(=O)N[C@@H]2Cc3ccc(cc3)Oc3cc4cc(c3O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3NC(=O)CCCCCCCCC(C)C)Oc3ccc(cc3Cl)[C@@H](O)[C@@H]3NC(=O)[C@H](NC(=O)[C@@H]4NC(=O)[C@@H](NC2=O)c2cc(cc(O)c2Cl)Oc2cc1ccc2O)c1ccc(O)c(c1)-c1c(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)cc(O)cc1[C@@H](C(=O)NCCCN(C)C)NC3=O,0.14
CCCC[C@@H]1CC(=O)[C@]2(O)O[C@@H]3[C@@H](NC)[C@@H](O)[C@@H](NC)[C@H](O)[C@H]3O[C@@H]2O1,0.7
OCCO[C@H]1C[C@@H](n2nnc3c(N[C@@H]4C[C@H]4c4ccc(F)c(F)c4)nc(S)nc32)[C@H](O)[C@@H]1O,1.25
